/home/yiwangchunyu/anaconda3/envs/dl/bin/python /home/yiwangchunyu/Nextcloud/FDU/课业/机器学习理论/projects/final/code/jiont/train.py
model saved, 0.561404,0.011862
Epoch: 34/1000, train loss:0.438156, test loss:1.892704, train_acc=2352/2880=0.816667, test_acc=691/1140=0.606140, best_acc=0.769298, train_mae:0.009913, test_mae:0.009326
Epoch: 35/1000, train loss:0.507939, test loss:2.014894, train_acc=2208/2880=0.766667, test_acc=628/1140=0.550877, best_acc=0.769298, train_mae:0.009488, test_mae:0.009456
Epoch: 36/1000, train loss:0.496807, test loss:6.549955, train_acc=2255/2880=0.782986, test_acc=639/1140=0.560526, best_acc=0.769298, train_mae:0.009035, test_mae:0.010449
Epoch: 37/1000, train loss:0.524414, test loss:3.060877, train_acc=2137/2880=0.742014, test_acc=658/1140=0.577193, best_acc=0.769298, train_mae:0.009022, test_mae:0.008713
Epoch: 38/1000, train loss:0.496499, test loss:5.757431, train_acc=2266/2880=0.786806, test_acc=546/1140=0.478947, best_acc=0.769298, train_mae:0.008587, test_mae:0.008839
Epoch: 39/1000, train loss:0.373382, test loss:2.890969, train_acc=2442/2880=0.847917, test_acc=651/1140=0.571053, best_acc=0.769298, train_mae:0.008135, test_mae:0.007137
Epoch: 40/1000, train loss:0.366788, test loss:9.615819, train_acc=2457/2880=0.853125, test_acc=522/1140=0.457895, best_acc=0.769298, train_mae:0.008057, test_mae:0.006726
Epoch: 41/1000, train loss:0.397201, test loss:1.571981, train_acc=2422/2880=0.840972, test_acc=698/1140=0.612281, best_acc=0.769298, train_mae:0.007769, test_mae:0.007896
Epoch: 42/1000, train loss:0.459007, test loss:0.993250, train_acc=2373/2880=0.823958, test_acc=719/1140=0.630702, best_acc=0.769298, train_mae:0.007138, test_mae:0.009782
Epoch: 43/1000, train loss:0.349452, test loss:10.104958, train_acc=2466/2880=0.856250, test_acc=509/1140=0.446491, best_acc=0.769298, train_mae:0.006817, test_mae:0.009031
Epoch: 44/1000, train loss:0.321178, test loss:2.390300, train_acc=2507/2880=0.870486, test_acc=651/1140=0.571053, best_acc=0.769298, train_mae:0.006533, test_mae:0.007233
Epoch: 45/1000, train loss:0.349021, test loss:0.620925, train_acc=2477/2880=0.860069, test_acc=809/1140=0.709649, best_acc=0.769298, train_mae:0.006184, test_mae:0.007784
Epoch: 46/1000, train loss:0.360618, test loss:5.186112, train_acc=2465/2880=0.855903, test_acc=654/1140=0.573684, best_acc=0.769298, train_mae:0.005931, test_mae:0.004530
Epoch: 47/1000, train loss:0.297999, test loss:1.309182, train_acc=2552/2880=0.886111, test_acc=750/1140=0.657895, best_acc=0.769298, train_mae:0.005587, test_mae:0.006687
Epoch: 48/1000, train loss:0.300012, test loss:7.763918, train_acc=2542/2880=0.882639, test_acc=548/1140=0.480702, best_acc=0.769298, train_mae:0.005312, test_mae:0.004753
Epoch: 49/1000, train loss:0.263454, test loss:1.482638, train_acc=2586/2880=0.897917, test_acc=638/1140=0.559649, best_acc=0.769298, train_mae:0.005018, test_mae:0.011309
Epoch: 50/1000, train loss:0.344281, test loss:1.729853, train_acc=2471/2880=0.857986, test_acc=640/1140=0.561404, best_acc=0.769298, train_mae:0.004821, test_mae:0.005922
Epoch: 51/1000, train loss:0.581662, test loss:2.897396, train_acc=2157/2880=0.748958, test_acc=640/1140=0.561404, best_acc=0.769298, train_mae:0.004693, test_mae:0.009333
Epoch: 52/1000, train loss:0.580703, test loss:0.569789, train_acc=2090/2880=0.725694, test_acc=811/1140=0.711404, best_acc=0.769298, train_mae:0.004410, test_mae:0.004191
model saved, 0.778070,0.003989
Epoch: 53/1000, train loss:0.535271, test loss:0.476752, train_acc=2158/2880=0.749306, test_acc=887/1140=0.778070, best_acc=0.778070, train_mae:0.004203, test_mae:0.003989
Epoch: 54/1000, train loss:0.527054, test loss:0.772461, train_acc=2161/2880=0.750347, test_acc=697/1140=0.611404, best_acc=0.778070, train_mae:0.004092, test_mae:0.002950
Epoch: 55/1000, train loss:0.513661, test loss:0.687166, train_acc=2191/2880=0.760764, test_acc=714/1140=0.626316, best_acc=0.778070, train_mae:0.003872, test_mae:0.003003
Epoch: 56/1000, train loss:0.425590, test loss:0.506621, train_acc=2362/2880=0.820139, test_acc=877/1140=0.769298, best_acc=0.778070, train_mae:0.003569, test_mae:0.004813
